Team_Name,Team_Code,Skater_Name,Conference,Division,Skater_Type,Number,Role
St.Louis Eagles,EGL,Jackk,North Pole,Claus,Skater,# 36,C
St.Louis Eagles,EGL,v,North Pole,Claus,Skater,# 79,A
St.Louis Eagles,EGL,Baygull,North Pole,Claus,Skater,# 85,A
St.Louis Eagles,EGL,Demidov,North Pole,Claus,Skater,# 93,
St.Louis Eagles,EGL,st.walls,North Pole,Claus,Skater,# 18,
St.Louis Eagles,EGL,BeastlyItalian,North Pole,Claus,Skater,# 47,
St.Louis Eagles,EGL,Kease,North Pole,Claus,Skater,# 75,
St.Louis Eagles,EGL,YODEADGUY,North Pole,Claus,Skater,# 74,
St.Louis Eagles,EGL,Rogue,North Pole,Claus,Goalie,# 90,
St.Louis Eagles,EGL,Lums,North Pole,Claus,Goalie,# 58,
Kunlun Redstar,KRS,Bleh,North Pole,Claus,Skater,# 74,C
Kunlun Redstar,KRS,Notlad,North Pole,Claus,Skater,# 73,A
Kunlun Redstar,KRS,Lettuce,North Pole,Claus,Skater,# 11,A
Kunlun Redstar,KRS,Imnotstamkos,North Pole,Claus,Skater,# 91,
Kunlun Redstar,KRS,DyslexicWarlus,North Pole,Claus,Skater,# 16,
Kunlun Redstar,KRS,VanHiggy,North Pole,Claus,Skater,# 20,
Kunlun Redstar,KRS,Dan,North Pole,Claus,Skater,#24,
Kunlun Redstar,KRS,P1kemin,North Pole,Claus,Skater,# 10,
Kunlun Redstar,KRS,Sleepy,North Pole,Claus,Goalie,# 92,
Kunlun Redstar,KRS,,North Pole,Claus,,,
Baraboo Bandits,BRB,Wrandy,North Pole,Eggnog,Skater,# 96,C
Baraboo Bandits,BRB,Pinks,North Pole,Eggnog,Skater,# 0,A
Baraboo Bandits,BRB,Sonyc,North Pole,Eggnog,Skater,# 55,A
Baraboo Bandits,BRB,Mickster,North Pole,Eggnog,Skater,# 59,
Baraboo Bandits,BRB,Guap,North Pole,Eggnog,Skater,# 22,
Baraboo Bandits,BRB,Shaivonte,North Pole,Eggnog,Skater,# 2,
Baraboo Bandits,BRB,Style,North Pole,Eggnog,Skater,# 15,
Baraboo Bandits,BRB,Para,North Pole,Eggnog,Skater,# 37,
Baraboo Bandits,BRB,Mal,North Pole,Eggnog,Goalie,# 17,
Baraboo Bandits,BRB,Kai2,North Pole,Eggnog,Goalie,# 57,
Würzburg Wolpertingers,Wür,Owl,North Pole,Eggnog,Skater,# 44,C
Würzburg Wolpertingers,Wür,Hljnx,North Pole,Eggnog,Skater,# 29,A
Würzburg Wolpertingers,Wür,Chino,North Pole,Eggnog,Skater,# 5,
Würzburg Wolpertingers,Wür,Tarasenko,North Pole,Eggnog,Skater,# 91,
Würzburg Wolpertingers,Wür,Shrews,North Pole,Eggnog,Skater,# 23,
Würzburg Wolpertingers,Wür,Caufield,North Pole,Eggnog,Skater,# 22,
Würzburg Wolpertingers,Wür,Reno,North Pole,Eggnog,Skater,#45,
Würzburg Wolpertingers,Wür,Jamal D Down,North Pole,Eggnog,Skater,#18,
Würzburg Wolpertingers,Wür,Grip,North Pole,Eggnog,Goalie,#13,A
Würzburg Wolpertingers,Wür,Alicat,North Pole,Eggnog,Goalie,# 55,
Barbeque Chicken Alert,BBQ,Owen,South Pole,Gingerbread,Skater,# 13,C
Barbeque Chicken Alert,BBQ,Glensky,South Pole,Gingerbread,Skater,# 89,A
Barbeque Chicken Alert,BBQ,Frogtea,South Pole,Gingerbread,Skater,# 98,A
Barbeque Chicken Alert,BBQ,Iguchi,South Pole,Gingerbread,Skater,# 64,
Barbeque Chicken Alert,BBQ,Maus,South Pole,Gingerbread,Skater,# 11,
Barbeque Chicken Alert,BBQ,RichardP,South Pole,Gingerbread,Skater,# 33,
Barbeque Chicken Alert,BBQ,ToxicController,South Pole,Gingerbread,Skater,# 16,
Barbeque Chicken Alert,BBQ,Feng,South Pole,Gingerbread,Skater,# 19,
Barbeque Chicken Alert,BBQ,ThrockMorton,South Pole,Gingerbread,Goalie,# 62,
Barbeque Chicken Alert,BBQ,Luke,South Pole,Gingerbread,Goalie,# 57,
Kokomo Dynamo,KOKO,ZUUUUB,South Pole,Reindeer,Skater,# 2,C
Kokomo Dynamo,KOKO,Dalfan,South Pole,Reindeer,Skater,# 92,A
